Time and Date,Electricity:Facility ,Heating:Electricity ,Cooling:Electricity ,InteriorLights:Electricity ,ExteriorLights:Electricity ,InteriorEquipment:Electricity ,Fans:Electricity ,Pumps:Electricity ,Gas:Facility ,Heating:Gas ,WaterSystems:Gas 
 12/22  21:00:00,34211520.37,0,0,7169289.229,9957600,7920077.219,9164553.918,1.45E-05,1671114.262,0,1671114.262
 12/22  22:00:00,34211520.37,0,0,7169289.229,9957600,7920077.219,9164553.918,1.45E-05,1671027.724,0,1671027.724
 12/22  23:00:00,21462321.83,0,0,3584644.615,9957600,7920077.219,0,1.45E-05,72000,0,72000
 12/22  24:00:00,19669999.53,0,0,1792322.307,9957600,7920077.219,0,1.45E-05,1670994.811,0,1670994.811
 12/23  01:00:00,17689980.22,0,0,1792322.307,9957600,5940057.914,0,1.45E-05,1671086.227,0,1671086.227
 12/23  02:00:00,17689980.22,0,0,1792322.307,9957600,5940057.914,0,1.45E-05,72000,0,72000
 12/23  03:00:00,17689980.22,0,0,1792322.307,9957600,5940057.914,0,1.45E-05,1671089.276,0,1671089.276
 12/23  04:00:00,17689980.22,0,0,1792322.307,9957600,5940057.914,0,1.45E-05,72000,0,72000
 12/23  05:00:00,17689980.22,0,0,1792322.307,9957600,5940057.914,0,1.45E-05,1671062.385,0,1671062.385
 12/23  06:00:00,17689980.22,0,0,1792322.307,9957600,5940057.914,0,1.45E-05,1671082.077,0,1671082.077
 12/23  07:00:00,30721081.4,0,94205.65274,3584644.615,9957600,7920077.219,9164553.918,1.45E-05,11134506.03,11062506.03,72000
 12/23  08:00:00,23988475.75,0,0,3584644.615,3319200,7920077.219,9164553.918,1.45E-05,13869986.33,12198865.08,1671121.254
 12/23  09:00:00,29834403.16,0,15818.87622,10753933.84,0,9900096.523,9164553.918,1.45E-05,8133039.513,6461900.525,1671138.988
 12/23  10:00:00,29818584.29,0,0,10753933.84,0,9900096.523,9164553.918,1.45E-05,6462861.414,4791756.478,1671104.936
 12/23  11:00:00,29818584.29,0,0,10753933.84,0,9900096.523,9164553.918,1.45E-05,6783624.363,5112564.451,1671059.912
 12/23  12:00:00,29818584.29,0,0,10753933.84,0,9900096.523,9164553.918,1.45E-05,7074322.659,5403235.643,1671087.016
 12/23  13:00:00,21471588.41,0,0,5376966.922,0,6930067.566,9164553.918,1.45E-05,10675867.8,10603867.8,72000
 12/23  14:00:00,21471588.41,0,0,5376966.922,0,6930067.566,9164553.918,1.45E-05,16317875.73,14646666.15,1671209.58
 12/23  15:00:00,21471588.41,0,0,5376966.922,0,6930067.566,9164553.918,1.45E-05,19603454.38,17932337.44,1671116.937
 12/23  16:00:00,21471588.41,0,0,5376966.922,0,6930067.566,9164553.918,1.45E-05,22711507.31,21040381.13,1671126.175
 12/23  17:00:00,24790788.41,0,0,5376966.922,3319200,6930067.566,9164553.918,1.45E-05,24970728.17,24898728.17,72000
 12/23  18:00:00,26854534.14,0,0,1792322.307,9957600,5940057.914,9164553.918,1.45E-05,33351721.2,31680599.03,1671122.17
 12/23  19:00:00,17689980.22,0,0,1792322.307,9957600,5940057.914,0,1.45E-05,1670991.245,0,1670991.245
 12/23  20:00:00,17689980.22,0,0,1792322.307,9957600,5940057.914,0,1.45E-05,1671013.663,0,1671013.663
 12/23  21:00:00,17689980.22,0,0,1792322.307,9957600,5940057.914,0,1.45E-05,72000,0,72000
